tag, None, ENAMEX-PERSON, ENAMEX-ORGANIZATION, ENAMEX-LOCATION
DT_301*, 6.5362894791884543e-05, 0, 0, 0
DT_302*, 0.000431395105626437984, 0, 0, 0
DT_303*, 0.000732064421669106881, 0, 0, 0
DT_304*, 0.00386948337167956494, 0, 0, 0
DT_31*, 0.00247071742313323572, 0, 0, 0
DT_350*, 0.000209161263334030538, 0, 0, 0
DT_369*, 0.000235306421250784355, 0, 0, 0
DT_384*, 0.000457540263543191801, 0, 0, 0
DT_385*, 7.84354737502614516e-05, 0, 0, 0
DT_386*, 0.00200010458063166702, 0, 0, 0
DT_387*, 0.00385641079272118804, 0, 0, 0
DT_389*, 2.61451579167538172e-05, 0, 0, 0
DT_390*, 0.000522903158335076344, 0, 0.000688705234159779614, 0.00102301790281329923
DT_391*, 0.000156870947500522903, 0, 0, 0
DT_392*, 0.000392177368751307258, 0, 0, 0
DT_393*, 0.00116345952729554487, 0, 0, 0
DT_4, 0.00892857142857142857, 0, 0.000344352617079889807, 0.000511508951406649616
DT_5, 0.00474534616189081782, 0, 0.00344352617079889807, 0
DT_53*, 7.84354737502614516e-05, 0, 0, 0
DT_6, 0.000902007948128006693, 0, 0, 0
DT_63*, 1.30725789583769086e-05, 0, 0, 0
DT_7, 1.30725789583769086e-05, 0, 0, 0
DT_79*, 1.30725789583769086e-05, 0, 0, 0
DT_8, 0.00101966115875339887, 0, 0, 0
DT_9, 0.00145105626437983685, 0, 0, 0
Dollar_0, 0.00115038694833716796, 0, 0, 0
EX_0, 0.000692846684793976156, 0, 0, 0
EX_1, 0.00111116921146203723, 0, 0, 0
EX_2*, 0.000104580631667015269, 0, 0, 0
FW_0, 0.000143798368542145995, 0, 0, 0.000511508951406649616
IN_0, 0.00203932231750679774, 0, 0, 0
IN_1, 0.00074513700062748379, 0, 0, 0
IN_10, 0.00125496758000418323, 0, 0, 0
IN_103*, 0.000405249947709684166, 0, 0, 0
IN_11, 0.000679774105835599247, 0, 0, 0
IN_12, 0.000248379000209161263, 0, 0, 0
IN_13, 0.00215697552813218992, 0, 0, 0
IN_14, 0.00143798368542145995, 0, 0, 0
IN_15, 0.000274524158125915081, 0, 0, 0
IN_16, 0.00139876594854632922, 0, 0, 0
IN_17, 0.00264066094959213554, 0, 0, 0
IN_18, 0.000313741895001045806, 0, 0, 0
IN_19, 0.000261451579167538172, 0, 0, 0
IN_2, 0.00056212089521020707, 0, 0, 0
IN_20, 0.000209161263334030538, 0, 0, 0
IN_26*, 5.22903158335076344e-05, 0, 0, 0
IN_277*, 0.000104580631667015269, 0, 0, 0
IN_29*, 0.00682388621627274629, 0, 0, 0
IN_3, 0.00946454716586488182, 0, 0.00757575757575757576, 0.00204603580562659847
IN_388*, 0.000130725789583769086, 0, 0, 0
IN_389*, 0.000405249947709684166, 0, 0, 0
IN_4, 0.00184323363313114411, 0, 0, 0
